algorithm,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
GA_Original,10,20,410.8525926001726,5.000209599966183,18368,,small_scarce,12,instance_012.json
GA_Modified,10,20,410.8525926001726,5.000207700068131,11600,improvement_pct=2.3810,small_scarce,12,instance_012.json
MMR_Original,10,20,401.009885778851,4.20999713242054e-05,10,,small_scarce,13,instance_013.json
MMR_Modified,10,20,391.0505946471907,0.00021500000730156898,3,improvement_pct=2.4836,small_scarce,13,instance_013.json
GA_Original,10,20,391.05059464719074,5.000158600043505,18557,,small_scarce,13,instance_013.json
GA_Modified,10,20,391.05059464719074,5.000394399976358,11659,improvement_pct=2.4836,small_scarce,13,instance_013.json
MMR_Original,10,20,551.3546659755182,4.0999846532940865e-05,10,,small_scarce,14,instance_014.json
MMR_Modified,10,20,551.3546659755182,0.00018560001626610756,2,improvement_pct=0.0000,small_scarce,14,instance_014.json
GA_Original,10,20,530.2755297716535,5.000159800052643,18476,,small_scarce,14,instance_014.json
GA_Modified,10,20,530.2755297716535,5.000223100185394,11623,improvement_pct=3.8232,small_scarce,14,instance_014.json
MMR_Original,10,20,414.72836005330396,4.300009459257126e-05,10,,small_scarce,15,instance_015.json
MMR_Modified,10,20,400.2323557773998,0.0002824000548571348,4,improvement_pct=3.4953,small_scarce,15,instance_015.json
GA_Original,10,20,396.69051715687067,5.000126300146803,18545,,small_scarce,15,instance_015.json
GA_Modified,10,20,400.2323557773998,5.000104300212115,11636,improvement_pct=3.4953,small_scarce,15,instance_015.json
MMR_Original,10,20,431.4429646460701,4.1499966755509377e-05,10,,small_scarce,16,instance_016.json
MMR_Modified,10,20,431.4429646460701,0.0002343999221920967,2,improvement_pct=0.0000,small_scarce,16,instance_016.json
GA_Original,10,20,405.95625841577265,5.000193800078705,18371,,small_scarce,16,instance_016.json
GA_Modified,10,20,416.53390038524907,5.000335699878633,11570,improvement_pct=3.4556,small_scarce,16,instance_016.json
MMR_Original,10,20,539.7393305512762,4.1499966755509377e-05,10,,small_scarce,17,instance_017.json
MMR_Modified,10,20,539.7393305512762,0.00023999996483325958,2,improvement_pct=0.0000,small_scarce,17,instance_017.json
GA_Original,10,20,528.9546307723951,5.0001143999397755,18431,,small_scarce,17,instance_017.json
GA_Modified,10,20,539.7393305512762,5.00040560006164,11673,improvement_pct=0.0000,small_scarce,17,instance_017.json
MMR_Original,10,20,481.45304967804594,4.210020415484905e-05,10,,small_scarce,18,instance_018.json
MMR_Modified,10,20,467.7954208503984,0.000224800081923604,3,improvement_pct=2.8368,small_scarce,18,instance_018.json
GA_Original,10,20,459.082431279139,5.000014699995518,18376,,small_scarce,18,instance_018.json
GA_Modified,10,20,467.79542085039844,5.000210099853575,11542,improvement_pct=2.8368,small_scarce,18,instance_018.json
MMR_Original,10,20,462.3323270605289,4.369998350739479e-05,10,,small_scarce,19,instance_019.json
MMR_Modified,10,20,461.57281343788515,0.00026110000908374786,3,improvement_pct=0.1643,small_scarce,19,instance_019.json
GA_Original,10,20,443.41494033257675,5.000044000102207,18406,,small_scarce,19,instance_019.json
GA_Modified,10,20,445.231880104295,5.000005400041118,11539,improvement_pct=3.6987,small_scarce,19,instance_019.json
MMR_Original,10,20,453.1430614829881,4.200008697807789e-05,10,,small_scarce,20,instance_020.json
MMR_Modified,10,20,453.1430614829881,0.00019160006195306778,2,improvement_pct=0.0000,small_scarce,20,instance_020.json
GA_Original,10,20,446.5291907490141,5.000116999959573,18445,,small_scarce,20,instance_020.json
GA_Modified,10,20,446.5291907490141,5.000057299854234,11634,improvement_pct=1.4596,small_scarce,20,instance_020.json
MMR_Original,30,20,95.52298270771023,0.0003161998465657234,30,,small_rich,1,instance_001.json
MMR_Modified,30,20,92.86584669559916,0.0013371999375522137,4,improvement_pct=2.7817,small_rich,1,instance_001.json
GA_Original,30,20,95.53307787985143,5.000567900016904,7882,,small_rich,1,instance_001.json
GA_Modified,30,20,92.70536144954777,5.000847999937832,6107,improvement_pct=2.9497,small_rich,1,instance_001.json
MMR_Original,30,20,87.10115600138809,0.0003042002208530903,30,,small_rich,2,instance_002.json
MMR_Modified,30,20,87.10115600138809,0.0010297999251633883,2,improvement_pct=0.0000,small_rich,2,instance_002.json
GA_Original,30,20,87.38128022978538,5.000530699966475,7872,,small_rich,2,instance_002.json
GA_Modified,30,20,82.6788216587231,5.000726999947801,6071,improvement_pct=5.0772,small_rich,2,instance_002.json
MMR_Original,30,20,80.82956562742194,0.00043180002830922604,30,,small_rich,3,instance_003.json
